COLLEGE,BRANCH,CATEGORIES,Cutoff_2019,Cutoff_2020,Cutoff_2021,Cutoff_2022,Cutoff_2023,Cutoff_2024
Sir M.Visveswaraya Institute of Technology,ME Mechanical,SCG,2320,2814,0,4891,0,3266
Sir M.Visveswaraya Institute of Technology,ME Mechanical,GMR,0,2637,0,0,0,3593
Sir M.Visveswaraya Institute of Technology,ME Mechanical,SCR,0,0,0,5392,0,0
Sir M.Visveswaraya Institute of Technology,ME Mechanical,STG,0,0,0,0,0,0
S J C Institute of Technology,AI Artificial Intelligence,2AG,0,0,0,0,0,0
S J C Institute of Technology,AI Artificial Intelligence,GM,0,0,0,0,17635,0
S J C Institute of Technology,AI Artificial Intelligence,SCG,0,0,0,0,0,0
S J C Institute of Technology,AI Artificial Intelligence,GMR,0,0,0,0,0,0
S J C Institute of Technology,AI Artificial Intelligence,SCR,0,0,0,0,0,0
S J C Institute of Technology,AI Artificial Intelligence,STG,0,0,0,0,0,0
S J C Institute of Technology,CE Civil,2AG,12486,0,0,8821,0,8029
S J C Institute of Technology,CE Civil,GM,8569,15962,17637,6255,17635,3995
S J C Institute of Technology,CE Civil,SCG,14947,0,0,8123,0,10588
S J C Institute of Technology,CE Civil,GMR,0,0,0,6451,0,0
S J C Institute of Technology,CE Civil,SCR,0,0,0,0,0,0
S J C Institute of Technology,CE Civil,STG,10109,0,0,0,0,0
S J C Institute of Technology,CS Computers,2AG,7864,0,0,7894,9787,13031
S J C Institute of Technology,CS Computers,GM,6833,12626,13847,5389,5574,6964
S J C Institute of Technology,CS Computers,SCG,0,0,0,12984,16982,0
S J C Institute of Technology,CS Computers,GMR,9784,0,0,7087,5824,0
S J C Institute of Technology,CS Computers,SCR,0,0,0,0,0,7884
S J C Institute of Technology,CS Computers,STG,0,0,0,0,10533,12419
S J C Institute of Technology,EC Electronics,2AG,11072,0,0,5705,11216,4115
S J C Institute of Technology,EC Electronics,GM,7158,10494,13069,5051,5266,3715
S J C Institute of Technology,EC Electronics,SCG,0,0,0,7706,0,13944
S J C Institute of Technology,EC Electronics,GMR,9803,0,0,5369,7357,5417
S J C Institute of Technology,EC Electronics,SCR,0,0,0,0,0,0
S J C Institute of Technology,EC Electronics,STG,0,0,0,6127,9559,7545
S J C Institute of Technology,EE Electrical,2AG,0,0,0,0,0,0
S J C Institute of Technology,EE Electrical,GM,0,0,0,0,0,0
S J C Institute of Technology,EE Electrical,SCG,0,0,0,0,0,0
S J C Institute of Technology,EE Electrical,GMR,0,0,0,0,0,0
S J C Institute of Technology,EE Electrical,SCR,0,0,0,0,0,0
S J C Institute of Technology,EE Electrical,STG,0,0,0,0,0,0
S J C Institute of Technology,ME Mechanical,2AG,6032,0,0,5187,0,0
S J C Institute of Technology,ME Mechanical,GM,2785,14190,17788,3784,14165,1801
S J C Institute of Technology,ME Mechanical,SCG,5751,0,0,7499,0,0
S J C Institute of Technology,ME Mechanical,GMR,3697,0,0,5764,0,0
S J C Institute of Technology,ME Mechanical,SCR,0,0,0,0,0,0
S J C Institute of Technology,ME Mechanical,STG,5845,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,2AG,0,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,GM,0,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,SCG,0,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,GMR,0,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,SCR,0,0,0,0,0,0
Siddaganga Institute of Technology,AI Artificial Intelligence,STG,0,0,0,0,0,0
Siddaganga Institute of Technology,CE Civil,2AG,449,0,694,0,4070,1536
Siddaganga Institute of Technology,CE Civil,GM,168,362,621,1833,,626
Siddaganga Institute of Technology,CE Civil,SCG,1356,0,3152,0,3496,2979
Siddaganga Institute of Technology,CE Civil,GMR,214,0,1401,1942,5236,878
Siddaganga Institute of Technology,CE Civil,SCR,0,0,0,0,4399,0
Siddaganga Institute of Technology,CE Civil,STG,0,1759,1541,0,4611,2670
Siddaganga Institute of Technology,CS Computers,2AG,1979,1364,1681,418,582,550
Siddaganga Institute of Technology,CS Computers,GM,722,646,827,412,252,435
Siddaganga Institute of Technology,CS Computers,SCG,4464,5165,3159,756,1780,1199
Siddaganga Institute of Technology,CS Computers,GMR,1513,0,0,0,545,680
Siddaganga Institute of Technology,CS Computers,SCR,0,0,4690,0,2987,3382
Siddaganga Institute of Technology,CS Computers,STG,0,0,0,0,1428,2479
Siddaganga Institute of Technology,EC Electronics,2AG,507,1167,644,862,757,756
Siddaganga Institute of Technology,EC Electronics,GM,336,579,449,704,617,566
Siddaganga Institute of Technology,EC Electronics,SCG,1455,1280,2058,1824,1904,983
Siddaganga Institute of Technology,EC Electronics,GMR,0,854,597,705,772,777
Siddaganga Institute of Technology,EC Electronics,SCR,0,0,0,0,6042,0
Siddaganga Institute of Technology,EC Electronics,STG,0,0,0,0,4296,1944
Siddaganga Institute of Technology,EE Electrical,2AG,807,0,1791,1222,2358,1016
Siddaganga Institute of Technology,EE Electrical,GM,756,367,963,352,1205,746
Siddaganga Institute of Technology,EE Electrical,SCG,4504,1339,2278,1392,2924,1741
Siddaganga Institute of Technology,EE Electrical,GMR,0,0,0,0,1341,0
Siddaganga Institute of Technology,EE Electrical,SCR,0,5632,0,2125,3544,0
Siddaganga Institute of Technology,EE Electrical,STG,0,0,2432,0,0,0
Siddaganga Institute of Technology,ME Mechanical,2AG,808,3009,4331,1025,8993,2159
Siddaganga Institute of Technology,ME Mechanical,GM,462,2577,2003,603,4811,1503
Siddaganga Institute of Technology,ME Mechanical,SCG,1901,4541,6069,1559,1312,4833
Siddaganga Institute of Technology,ME Mechanical,GMR,595,2957,3014,857,7080,0
Siddaganga Institute of Technology,ME Mechanical,SCR,0,5009,9433,0,0,0
Siddaganga Institute of Technology,ME Mechanical,STG,0,0,2044,0,0,3280
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,2AG,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,GM,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,SCG,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,GMR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,SCR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),AI Artificial Intelligence,STG,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),CE Civil,2AG,0,424,5370,0,4784,0
JSS Science and Technology University(Formerly SJCE),CE Civil,GM,92,120,2462,1322,3159,1790
JSS Science and Technology University(Formerly SJCE),CE Civil,SCG,0,242,4274,0,4352,2629
JSS Science and Technology University(Formerly SJCE),CE Civil,GMR,156,0,5357,0,3334,0
JSS Science and Technology University(Formerly SJCE),CE Civil,SCR,0,0,0,2993,0,3675
JSS Science and Technology University(Formerly SJCE),CE Civil,STG,0,0,0,0,8547,0
JSS Science and Technology University(Formerly SJCE),CS Computers,2AG,0,190,320,316,127,333
JSS Science and Technology University(Formerly SJCE),CS Computers,GM,116,80,164,279,94,167
JSS Science and Technology University(Formerly SJCE),CS Computers,SCG,0,141,531,780,1133,454
JSS Science and Technology University(Formerly SJCE),CS Computers,GMR,0,0,589,373,178,0
JSS Science and Technology University(Formerly SJCE),CS Computers,SCR,0,0,0,0,0,0
JSS Science and Technology University(Formerly SJCE),CS Computers,STG,753,0,0,0,0,0
